GEOID,NAME,variable,estimate,moe,year,year_lab,tract_name
36047023400,"Census Tract 234, Kings County, New York",male_22_24,128,59,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",male_25_29,198,93,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",male_30_34,108,78,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",male_35_39,160,91,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",male_40_44,47,34,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",male_45_49,18,23,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",male_50_54,34,43,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",male_55_59,118,51,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",male_60_61,55,56,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",male_62_64,9,16,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",male_65_66,8,13,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",male_67_69,21,34,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",male_70_74,18,20,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",male_75_79,97,69,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",male_80_84,58,55,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",male_85,22,26,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",female_total,2398,398,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",female_5y,297,113,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",female_5_9,268,117,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",female_10_14,200,177,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",female_15_17,169,117,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",female_18_19,42,29,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",female_20,0,123,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",female_21,47,30,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",female_22_24,196,86,2009,2005-2009,Census Tract 234
